MilestoneID, Name, Timeline, Estimated effort(1-5), Lead, Completed, Description
1, Functional Tokens, 18/02 - 24/02, 3, oll16, 29e181368b69d92d52f0ea9d6d2c07afcef3cf3b, Lexing of all C constructs
2, Expression Parsing, 25/02 - 03/03, 4, both, 994210821e11d2970ebb9e8312e4d57e52ac9003, Parse nodes for Expressions
3, Statement Parsing, 25/02 - 03/03, 3, oll16, eef36abc3c950b83e747bb09f5304874a1281209, Parse nodes for statements
4, Declaration Parsing, 25/02 - 03/03, 4, dl5215, 916faa0d8247ef3b35220f7bfb1113d4050a0c47, Complete implementation of parse nodes
5, C -> Python (Expressions), 04/03 - 10/03, 4, dl5215, f162d469d3d1195e2aa5d78f741991b6a5fad1ca, Translation of Expression Constructs as in the spec
6, C -> Python (Declaration/Statements), 04/03 - 10/03, 2, dl5215, f162d469d3d1195e2aa5d78f741991b6a5fad1ca, Translation of Statements Constructs as in the spec
7, Codegen Brainstorming, 04/03 - 10/03, 3, both, -, Offline codegen brainstorming
8, Debug Python Translation, 04/03 - 10/03, 3, dl5215, 4b728738dddae5315e8613628bd16a55d25ac3f1, Create advanced test cases and finalise python translator
9, Codegen (declarations/statements), 11/03 - 17/03, 5, oll16, 41b5f79b07470698a2653a173f3a16389d4b368b, Setting up context and backbone for codegen
11, Codegen (expressions), 11/03 - 20/03, 4, dl5215, 138b0fc35bc3bd54a3618d1a84df4bd34e5c4d94, Implement all operator functionalities
12, Write basic testbench, 11/03 - 20/03, 2, oll16, 863fd1b70822639a7d017001ff500c37ba1af37f, Write graded test files
13, Prototype testing, 21/03 - 27/03, 4, dl5215, 97a8b3c444323a2da14e92cc63e67e90ea5bc2fc, Write micro tests with as few dependencies as possible to test all language features
14, Finalise features, 21/03 - 27/03, 4, dl5215, 15b5f956ce998335721b6a029de567a8d5af284a, Develop macro tests and debug at leisure
